sample	hosts	sample type 	genus 		
OD_ZAD_AGR009_LUNG_S54_673491			Mus musculus	Ovis	Medium
OD_ZAD_AGR010_LUNG_S55_674094			Mus musculus	Sus	Medium
OD_ZAD_SQL021_LIV_S11_673617			Sciurus carolinensis	Sciurus	High
OD_ZAD_SQL022_LIV_S12_673618			Sciurus carolinensis	Sciurus	Medium
OD_ZAD_SQL023_LIV_S13_673619			Sciurus carolinensis	Sciurus	Low
OD_ZAD_SQL024_LIV_S14_673620			Sciurus carolinensis	Sciurus	Low
OD_ZAD_SQL025_LIV_S15_673621			Sciurus carolinensis	Sciurus	Medium
OD_ZAD_SQL026_LUNG_S16_673622			Sciurus carolinensis	Sciurus	Medium
OD_ZAD_SQL027_LUNG_S17_673623			Sciurus carolinensis	Sciurus	Low
OD_ZAD_SQL028_LUNG_S18_673624			Sciurus carolinensis	Sciurus	Low
OD_ZAD_SQL029_LUNG_S19_673625			Sciurus carolinensis	Sciurus	Medium
OD_ZAD_SQL030_LUNG_S20_673626			Marmota monax	Marmota	Medium
SEZONOWIFRR031_LIV_S71_663085			Mastomys coucha	Mastomys	High
SEZONOWIFRR032_LIV_S72_666406			Mastomys coucha	Mastomys	Medium
SEZONOWIFRR033_LIV_S73_666402			Mastomys coucha	Mastomys	Medium
SEZONOWIFRR034_LIV_S74_1_666404			Rattus rattus	Rattus	High
SEZONOWIFRR037_LIV_S77_666399			Mastomys coucha	Mastomys	High
SEZONOWIFRR038_LIV_S78_666400			Mastomys coucha	Mastomys	High
SEZONOWIFRR039_LIV_S79_666401			Mastomys coucha	Mastomys	High
SEZONOWIFRR040_LIV_S80_666396			Mastomys coucha	Mastomys	High
SEZONOWIFRR063_LUNG_S81_666397			Mastomys coucha	Mastomys	Medium
SEZONOWIFRR064_LUNG_S56_673522			Mastomys coucha	Mastomys	High
SEZONOWIFRR066_LUNG_S57_673523			Mastomys coucha	Mastomys	Medium
SEZONOWIFRR067_LUNG_S58_673524			Mastomys coucha	Mastomys	High
SEZONOWIFRR068_LUNG_S59_673525			Rattus rattus	Rattus	High
SEZONOWIFRR069_LUNG_S60_673526			Mastomys coucha	Mastomys	High
SEZONOWIFRR070_LUNG_S61_673529			Mastomys coucha	Mastomys	High
SEZONOWIFRR071_LUNG_S62_673527			Mastomys coucha	Mastomys	Medium
SEZONOWIFRR072_LUNG_S63_673528			Mastomys coucha	Mastomys	Medium
SEZONOWOGR002_LIV_S48_666373			Mastomys coucha	Mastomys	High
SEZONOWOGR003_LIV_S49_666374			Mastomys coucha	Mastomys	High
SEZONOWOGR004_LIV_S50_666375			Mastomys coucha	Mastomys	Medium
SEZ_ON_OWIS_R001_S79_687907			Rattus rattus		
SEZ_ON_OWIS_R002_S80_687908			Mus musculus		
SEZ_ON_OWIS_R003_S81_687909			Mus musculus		
SEZ_ON_OWIS_R004_S82_687910			Rattus rattus		
SEZ_ON_OWOG_R001_S75_687911			Mus musculus		
SEZ_ON_OWOG_R002_S76_687912			Mus musculus		
SEZ_ON_OWOG_R003_S77_687913			Mus musculus		
SEZ_ON_OWOG_R004_S78_687914			Mastomys coucha		
