family,sci_name,hosts,location,sample_type,host_feeding,host_habitat,virus_host_count,infected_host_sample_size,actual_host_sample_size,read_count,read_prop,RPM
Adenoviridae,Human adenovirus 18,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,678,0.000238447,238.4465149
Adenoviridae,Human adenovirus 25,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,4,5.02E-07,0.501891378
Adenoviridae,Simian adenovirus ch1,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,19,2.38E-06,2.383984044
Alphaflexiviridae,Cassava common mosaic virus,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,78,3.20E-05,31.98063244
Anelloviridae,Nayun tick torquevirus,Dog,Ebonyi,Swab,Carnivores,domesticated,3,24,31,489,0.000210716,210.716
Anelloviridae,Nayun tick torquevirus,Dog,Ondo,Swab,Carnivores,domesticated,3,24,31,52,9.60E-06,9.601540655
Astroviridae,Astrovirus HK-2014,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,32,1.44E-05,14.36055858
Astroviridae,Astrovirus MLB2,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,124,0.000688092,688.0921288
Astroviridae,Chicken astrovirus,Dog,Ondo,Swab,Carnivores,domesticated,3,24,31,6,2.49E-06,2.490837868
Astroviridae,Henan avastrovirus,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,9,4.09E-06,4.09
Astroviridae,Human astrovirus,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,387,0.000192642,192.6415282
Astroviridae,Mamastrovirus 3,Dog,Ondo,Swab,Carnivores,domesticated,5,24,31,8,6.36E-07,0.636177641
Astroviridae,Ovine astrovirus S5.1,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,6,4.77E-07,0.477133231
Astroviridae,Primate astrovirus,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,16,7.93E-05,79.27542264
Astroviridae,Xenotilapia nasus astrovirus 2,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,6,2.14E-06,2.141081574
Botourmiaviridae,Botourmiaviridae sp.,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,199,8.57E-05,85.7
Botourmiaviridae,Lwood associated botourmia-like virus 17,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,4,1.43E-06,1.427387716
Caliciviridae,Calicivirus isolate 2117,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,14,7.89E-07,0.788819587
Caliciviridae,Canine vesivirus,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,15,8.71E-07,0.871377025
Caliciviridae,Norovirus 09-BI-2/2009/GII.4/NewOrleans/2009,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,101,4.35E-05,43.5
Caliciviridae,Norovirus GI,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,43,3.42E-06,3.419454821
Caliciviridae,Norovirus GII,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,220,9.37E-05,93.68585701
Caliciviridae,Norovirus GII,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,158,8.19E-06,8.193618439
Caliciviridae,Norovirus GVI,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,4,1.98E-05,19.81885566
Caliciviridae,Norovirus Hu/GII.17/C142/GF/1978,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,7,3.60E-07,0.359532907
Caliciviridae,Norovirus Hu/GII.2/CHDC2596/1975/USA,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,10,5.14E-07,0.513618439
Caliciviridae,Norovirus Hu/GII.2/SnowMountRS/1975/USA,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,66,3.43E-06,3.43
Caliciviridae,Norovirus Hu/GII/BG1C0301/2011/BGD,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,39,1.68E-05,16.8
Caliciviridae,Norovirus Hu/GII/Goulburn Valley G5175 B/1983/AUS,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,6,3.08E-07,0.308171063
Caliciviridae,Norovirus Hu/GII/Toronto/SK/2005/CAN,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,8,2.85E-06,2.854775433
Caliciviridae,Norovirus env/GGII.4/996/2007/ITA,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,9,3.21E-06,3.211622362
Caliciviridae,Norovirus sp.,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,24,8.56E-06,8.564326298
Caliciviridae,Sapovirus Hu/Murshidhabad/SD31,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,9,3.21E-06,3.211622362
Circoviridae,Canine circovirus,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,1259,0.000120498,120.498
Coronaviridae,Avian coronavirus,Dog,Ebonyi,Swab,Carnivores,domesticated,4,24,31,8,2.85E-06,2.854775433
Coronaviridae,Avian coronavirus,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,12,5.45E-06,5.45
Coronaviridae,Betacoronavirus 1,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,6,1.07E-06,1.072796003
Coronaviridae,Bovine coronavirus,Dog,Ondo,Swab,Carnivores,domesticated,5,24,31,18,7.47E-06,7.472513604
Coronaviridae,Human coronavirus OC43,Dog,Ondo,Swab,Carnivores,domesticated,3,24,31,14,5.81E-06,5.811955025
Coronaviridae,Infectious bronchitis virus,Dog,Ebonyi,Swab,Carnivores,domesticated,5,24,31,20,7.73E-06,7.732163149
Coronaviridae,Infectious bronchitis virus,Dog,Ondo,Swab,Carnivores,domesticated,5,24,31,10,4.15E-06,4.151396447
Coronaviridae,Rabbit coronavirus HKU14,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,6,2.49E-06,2.490837868
Coronaviridae,Turkey coronavirus,Dog,Ebonyi,Swab,Carnivores,domesticated,3,24,31,4,1.43E-06,1.427387716
Coronaviridae,Yak coronavirus,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,4,1.66E-06,1.660558579
Genomoviridae,Faeces associated gemycircularvirus 15,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,10,3.57E-06,3.568469291
Genomoviridae,Genomoviridae sp.,Dog,Ebonyi,Swab,Carnivores,domesticated,6,24,31,22,9.91E-06,9.911782393
Genomoviridae,Genomoviridae sp.,Dog,Ondo,Swab,Carnivores,domesticated,6,24,31,6,3.38E-07,0.338065537
Genomoviridae,Giant panda associated gemycircularvirus,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,6,2.14E-06,2.141081574
Genomoviridae,Giant panda associated gemycircularvirus,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,21,6.26E-06,6.262136617
Genomoviridae,Gila monster-associated gemycircularvirus,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,5,3.07E-06,3.072453366
Genomoviridae,bubaline-associated gemykrogvirus,Dog,Ebonyi,Swab,Carnivores,domesticated,4,24,31,11,3.93E-06,3.92531622
Mimiviridae,Powai lake megavirus,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,16,7.86E-07,0.78576562
Mitoviridae,Guiyang Paspalum thunbergii mito-like virus 1,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,4,1.43E-06,1.427387716
Mitoviridae,Hangzhou mitovirus 6,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,4,2.46E-06,2.457962693
Mitoviridae,Mitoviridae sp.,Dog,Ebonyi,Swab,Carnivores,domesticated,3,24,31,18,1.11E-05,11.06083212
Narnaviridae,Lwood associated narna-like virus 19,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,4,1.43E-06,1.427387716
Orthoherpesviridae,Human betaherpesvirus 5,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,34,1.21E-05,12.13279559
Papillomaviridae,Canine papillomavirus 21,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,15716,0.012539406,12539.40586
Papillomaviridae,Canis familiaris papillomavirus 13,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,49,6.15E-06,6.148169376
Papillomaviridae,Canis familiaris papillomavirus 19,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,2895,0.000470304,470.3036039
Papillomaviridae,Canis familiaris papillomavirus 7,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,854,0.000136306,136.3059297
Papillomaviridae,Human papillomavirus,Dog,Ebonyi,Swab,Carnivores,domesticated,4,24,31,20,7.14E-06,7.136938582
Papillomaviridae,Human papillomavirus,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,472,3.35E-05,33.52541781
Papillomaviridae,Human papillomavirus 17,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,6,2.14E-06,2.141081574
Papillomaviridae,Human papillomavirus 199,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,6,2.14E-06,2.141081574
Papillomaviridae,Human papillomavirus 38,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,83,2.59E-05,25.90624305
Papillomaviridae,human papillomavirus 47,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,4,5.05E-07,0.505127805
Partitiviridae,Partitiviridae sp.,Dog,Ondo,Swab,Carnivores,domesticated,5,24,31,67,8.61E-06,8.609833991
Parvoviridae,Adeno-associated virus,Dog,Ebonyi,Swab,Carnivores,domesticated,4,24,31,40,0.000215468,215.4678479
Parvoviridae,Adeno-associated virus,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,28,2.23E-06,2.226621744
Parvoviridae,Adeno-associated virus 2 Srivastava/1982,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,6,2.97E-05,29.72828349
Parvoviridae,Canine minute virus,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,116053,0.008318423,8318.423321
Parvoviridae,Canine parvovirus,Dog,Ebonyi,Swab,Carnivores,domesticated,6,24,31,59600,0.00986588,9865.88
Parvoviridae,Canine parvovirus,Dog,Ondo,Swab,Carnivores,domesticated,6,24,31,14387,0.005071615,5071.614911
Parvoviridae,Canine parvovirus 2c,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,4,2.46E-06,2.457962693
Parvoviridae,Chicken parvovirus,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,8,3.32E-06,3.321117157
Parvoviridae,Dependoparvovirus primate1,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,20,0.000122128,122.128
Parvoviridae,Mink enteritis virus,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,144,2.14E-05,21.37736754
Parvoviridae,Protoparvovirus carnivoran1,Dog,Ebonyi,Swab,Carnivores,domesticated,3,24,31,151,2.24E-05,22.41654513
Parvoviridae,Protoparvovirus carnivoran1,Dog,Ondo,Swab,Carnivores,domesticated,3,24,31,8501,0.003858576,3858.575584
Parvoviridae,adeno-associated virus 2,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,10,4.95E-05,49.54713915
Picobirnaviridae,Lysoka partiti-like virus,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,394,5.58E-05,55.8
Picobirnaviridae,Macaque picobirnavirus 27,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,19,1.76E-06,1.764818109
Picobirnaviridae,Marmot picobirnavirus,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,173,1.66E-05,16.6
Picobirnaviridae,Picobirnaviridae sp. ct6rZ1,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,291,1.72E-05,17.2
Picobirnaviridae,Picobirnavirus sp.,Dog,Ebonyi,Swab,Carnivores,domesticated,8,24,31,925,0.00033153,331.5297441
Picobirnaviridae,Picobirnavirus sp.,Dog,Ondo,Swab,Carnivores,domesticated,8,24,31,22861,0.001951918,1951.918216
Picobirnaviridae,Porcine picobirnavirus,Dog,Ondo,Swab,Carnivores,domesticated,6,24,31,1474,0.00013543,135.43
Picobirnaviridae,Simian picobirnavirus,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,20,1.91E-06,1.91
Picornaviridae,Anativirus sp.,Dog,Ondo,Swab,Carnivores,domesticated,3,24,31,75,7.41E-06,7.406883907
Picornaviridae,Canine kobuvirus,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,70281,0.008040286,8040.285782
Picornaviridae,Canine kobuvirus 1,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,6,5.27E-07,0.526864098
Picornaviridae,Canine picornavirus,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,344,1.78E-05,17.84902638
Picornaviridae,Chicken picornavirus 1,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,10,4.91E-07,0.491103513
Picornaviridae,Chicken picornavirus 4,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,47,2.33E-06,2.33
Picornaviridae,Coxsackievirus A10,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,10,3.57E-06,3.568469291
Picornaviridae,Coxsackievirus A13,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,87,1.16E-05,11.59
Picornaviridae,Coxsackievirus A16,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,14,5.00E-06,4.995857007
Picornaviridae,Coxsackievirus A9,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,12,9.54E-07,0.954266462
Picornaviridae,Coxsackievirus B2,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,99,1.32E-05,13.2
Picornaviridae,Coxsackievirus B3,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,11,8.75E-07,0.874744257
Picornaviridae,Coxsackievirus B4,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,12,9.54E-07,0.954266462
Picornaviridae,Coxsackievirus B5,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,7,5.57E-07,0.556655436
Picornaviridae,Echovirus E24,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,857,0.000114123,114.123
Picornaviridae,Echovirus E25,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,72,9.59E-06,9.59
Picornaviridae,Echovirus E6,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,6,4.77E-07,0.477133231
Picornaviridae,Echovirus E7,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,851,4.42E-05,44.2
Picornaviridae,Enterovirus B,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,9,7.16E-07,0.715699846
Picornaviridae,Human cosavirus E/D,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,30,1.54E-06,1.540855316
Picornaviridae,Human enterovirus,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,123,1.63E-05,16.29220129
Picornaviridae,Human enterovirus,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,16,1.27E-06,1.272355282
Picornaviridae,Human parechovirus 5,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,28,1.17E-05,11.69423465
Picornaviridae,Human rhinovirus sp.,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,14,5.00E-06,4.995857007
Picornaviridae,Kobuvirus sewage Aichi,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,4,2.34E-07,0.233621661
Picornaviridae,Megrivirus sp.,Dog,Ebonyi,Swab,Carnivores,domesticated,5,24,31,57,2.36E-05,23.59901008
Picornaviridae,Megrivirus sp.,Dog,Ondo,Swab,Carnivores,domesticated,5,24,31,5,1.49E-06,1.490984909
Picornaviridae,Ovine hungarovirus OHUV1/2009/HUN,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,4,3.18E-07,0.318088821
Picornaviridae,Parechovirus A,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,30,1.29E-05,12.9
Picornaviridae,Parechovirus A,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,9,7.90E-07,0.790296147
Picornaviridae,Picornavirales sp.,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,528,2.62E-05,26.2
Picornaviridae,Poliovirus 2,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,148,1.97E-05,19.7
Picornaviridae,Rhinovirus A,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,62,2.67E-05,26.7
Picornaviridae,Sicinivirus A,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,66,3.26E-06,3.255089835
Picornaviridae,Sicinivirus sp.,Dog,Ondo,Swab,Carnivores,domesticated,3,24,31,81,4.00E-06,3.99729686
Picornaviridae,aichivirus A2,Dog,Ondo,Swab,Carnivores,domesticated,2,24,31,14,8.18E-07,0.817675815
Picornaviridae,enterovirus A114,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,6,2.14E-06,2.141081574
Picornaviridae,megrivirus C2,Dog,Ebonyi,Swab,Carnivores,domesticated,4,24,31,38,1.36E-05,13.56018331
Picornaviridae,megrivirus C2,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,18,6.54E-06,6.536972301
Picornaviridae,rhinovirus A31,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,55,2.37E-05,23.7
Picornaviridae,rhinovirus A78,Dog,Ebonyi,Swab,Carnivores,domesticated,1,24,31,9,3.21E-06,3.211622362
Polyomaviridae,Betapolyomavirus canis,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,24,1.37E-06,1.368852355
Poxviridae,Orf virus,Dog,Ondo,Swab,Carnivores,domesticated,7,24,31,4,2.34E-07,0.233621661
Sedoreoviridae,Human rotavirus A,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,705,5.84E-05,58.4
Sedoreoviridae,Porcine rotavirus A,Dog,Ebonyi,Swab,Carnivores,domesticated,4,24,31,8,4.92E-06,4.915925386
Sedoreoviridae,Rotavirus A,Dog,Ebonyi,Swab,Carnivores,domesticated,4,24,31,8,4.92E-06,4.915925386
Sedoreoviridae,Rotavirus A,Dog,Ondo,Swab,Carnivores,domesticated,4,24,31,3463,0.00028693,286.93
Sedoreoviridae,Rotavirus F,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,14,5.00E-06,4.995857007
Sedoreoviridae,Rotavirus G,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,4,1.19E-06,1.192787927
Sedoreoviridae,Rotavirus G chicken/03V0567/DEU/2003,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,15,4.47E-06,4.472954727
Unclassifed,Erwinia phage phiAT1,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,4,7.15E-07,0.715197335
Unclassifed,Hainan astro-like virus 1,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,9,3.21E-06,3.211622362
Unclassifed,Hainan astro-like virus 2,Dog,Ebonyi,Swab,Carnivores,domesticated,2,24,31,23,9.24E-06,9.241622362
Unclassifed,Prokaryotic dsDNA virus sp.,Dog,Ondo,Swab,Carnivores,domesticated,1,24,31,8,3.93E-07,0.39288281
Unclassifed,Riboviria sp.,Dog,Ondo,Swab,Carnivores,domesticated,3,24,31,12,1.11E-06,1.114621964
Adintoviridae,Terrapene box turtle adintovirus,Egret,Ondo,Liver,Carnivores,wild,3,8,10,16,1.42E-06,1.420015144
Hepadnaviridae,Duck hepatitis B virus,Egret,Ondo,Liver,Carnivores,wild,1,8,10,20,2.37E-06,2.369338471
Circoviridae,robinz virus RP_259,Egret,Ondo,Lung,Carnivores,wild,1,8,10,11,6.78E-07,0.678126215
Hepadnaviridae,Duck hepatitis B virus,Egret,Ondo,Lung,Carnivores,wild,1,8,10,39,2.84E-06,2.839351583
Hepadnaviridae,Lamprologini metahepadnavirus,Egret,Ondo,Lung,Carnivores,wild,1,8,10,8,3.71E-07,0.37103614
Adenoviridae,Bovine adenovirus 2,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,18,9.36E-07,0.935804243
Adenoviridae,Fowl adenovirus 8a,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,48,6.29E-06,6.285840751
Adenoviridae,Fowl aviadenovirus E,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,45,6.28E-06,6.28
Adenoviridae,Human adenovirus 12,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,1371,0.000125123,125.1230914
Adenoviridae,Human adenovirus 41,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,16,2.10E-06,2.09528025
Adenoviridae,Human adenovirus 76,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,46,4.21E-06,4.21
Adenoviridae,Human mastadenovirus C,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,6,5.40E-07,0.540080645
Adenoviridae,Ovine adenovirus 4,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,10,5.11E-07,0.511340405
Adenoviridae,Pan troglodytes verus adenovirus 8,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,20,1.80E-06,1.800268816
Anelloviridae,Chicken anemia virus,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,2,43,46,18,2.36E-06,2.357190282
Anelloviridae,Nayun tick torquevirus,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,3,43,46,80,7.27E-06,7.270483869
Astroviridae,Human astrovirus,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,2,43,46,743,6.80E-05,67.99028226
Astroviridae,Human astrovirus,Goat,Ondo,Oral,Herbivores,peri-domesticated,2,43,46,32,1.86E-06,1.857954933
Astroviridae,Human astrovirus 1,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,10,1.31E-06,1.309550156
Astroviridae,Human astrovirus 1,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,32,1.90E-06,1.900610916
Astroviridae,Human astrovirus MLB3,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,101,9.24E-06,9.24
Astroviridae,Mamastrovirus 1,Goat,Ondo,Oral,Herbivores,peri-domesticated,2,43,46,19,1.14E-06,1.14
Betaflexiviridae,Cowpea mild mottle virus,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,341,2.50E-05,25.02113007
Bromoviridae,Cucumber mosaic virus,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,972,4.94E-05,49.36686204
Caliciviridae,Norovirus GII,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,2,43,46,342,4.66E-05,46.55988213
Caliciviridae,Norovirus Hu/GII/2005/6300/St. Petersburg/RUS,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,18,2.36E-06,2.357190282
Caliciviridae,Norovirus Hu/OC02202/2002/JP,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,8,1.05E-06,1.047640125
Caliciviridae,Sapovirus Hu/Kumamoto130/Jul2010/JPN,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,12422,0.001136527,1136.527
Circoviridae,Chicken cyclovirus mg5_2967,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,10,5.01E-07,0.500546296
Circoviridae,Cyclovirus TN15,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,6,5.14E-07,0.514112825
Genomoviridae,Cassava associated gemycircularvirus 1,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,8,5.80E-07,0.579574659
Genomoviridae,Faeces associated gemycircularvirus 15,Goat,Ondo,Oral,Herbivores,peri-domesticated,2,43,46,8,3.06E-07,0.305999612
Genomoviridae,Finch associated genomovirus 7,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,4,1.53E-07,0.152999806
Genomoviridae,Genomoviridae sp.,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,6,43,46,191,2.48E-05,24.76675854
Genomoviridae,Genomoviridae sp.,Goat,Ondo,Oral,Herbivores,peri-domesticated,6,43,46,132,5.45E-06,5.446200685
Genomoviridae,Gila monster-associated gemycircularvirus,Goat,Ondo,Oral,Herbivores,peri-domesticated,2,43,46,22,9.96E-07,0.996108001
Genomoviridae,Gila monster-associated gemycircularvirus 1,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,3,43,46,8,7.20E-07,0.720107526
Genomoviridae,Murine feces-associated gemycircularvirus 2,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,117,4.48E-06,4.475244325
Genomoviridae,Raccoon dog stool-associated gemycircularvirus 1,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,2,43,46,533,6.98E-05,69.79902334
Mitoviridae,Mitovirus JS3,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,2,43,46,24,2.20E-06,2.2
Orthoherpesviridae,Alcelaphine gammaherpesvirus 1,Goat,Ondo,Oral,Herbivores,peri-domesticated,2,43,46,4,2.02E-07,0.202022202
Orthoherpesviridae,Alcelaphine gammaherpesvirus 2,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,6,3.03E-07,0.303033303
Orthoherpesviridae,Bovine gammaherpesvirus 6,Goat,Ondo,Oral,Herbivores,peri-domesticated,3,43,46,26,1.31E-06,1.313144312
Orthoherpesviridae,Caprine gammaherpesvirus 2,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,56,4.92E-06,4.915449873
Orthoherpesviridae,Caprine gammaherpesvirus 2,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,81,4.19E-06,4.193033303
Orthoherpesviridae,Gallid alphaherpesvirus 2,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,4,43,46,4,3.51E-07,0.351103562
Orthoherpesviridae,Ovine gammaherpesvirus 2,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,2,43,46,4,3.51E-07,0.351103562
Orthoherpesviridae,Ovine gammaherpesvirus 2,Goat,Ondo,Oral,Herbivores,peri-domesticated,2,43,46,70,3.55E-06,3.545344128
Orthoherpesviridae,human gammaherpesvirus 4,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,401,4.41E-05,44.1
Papillomaviridae,Gammapapillomavirus sp.,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,4,2.02E-07,0.202022202
Papillomaviridae,Human papillomavirus 5,Goat,Ondo,Oral,Herbivores,peri-domesticated,1,43,46,14,7.07E-07,0.707077706
Paramyxoviridae,peste-des-petits-ruminants virus,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,4,43,46,5455,0.000496654,496.654
Parvoviridae,Adeno-associated virus,Goat,Ondo,Oral,Herbivores,peri-domesticated,4,43,46,4,2.32E-07,0.232244367
Parvoviridae,Dependoparvovirus sp.,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,3,43,46,7,9.17E-07,0.916685109
Parvoviridae,Protoparvovirus carnivoran1,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,3,43,46,2423,0.000338139,338.139
Parvoviridae,Protoparvovirus sp.,Goat,Ondo,Oral,Herbivores,peri-domesticated,2,43,46,294,1.14E-05,11.42274656
Picobirnaviridae,Bovine picobirnavirus,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,4,43,46,4018,0.000296131,296.130837
Picobirnaviridae,Bovine picobirnavirus,Goat,Ondo,Oral,Herbivores,peri-domesticated,4,43,46,81,4.27E-06,4.273223148
Picobirnaviridae,Fox picobirnavirus,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,47,3.41E-06,3.405001121
Picobirnaviridae,Marmot picobirnavirus,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,4,43,46,597,4.41E-05,44.0737242
Picobirnaviridae,Picobirnavirus PREDICT_PbV-33,Goat,Ebonyi ,Oral,Herbivores,peri-domesticated,1,43,46,40,2.90E-06,2.897873294
