family,sci_name,hosts,location,sample_type,host_feeding,host_habitat,virus_host_count,infected_host_sample_size,actual_host_sample_size,read_count,read_prop,RPM
Coronaviridae,Dromedary camel coronavirus HKU23,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,2,43,46,2328,6.47E-05,64.7072453
Coronaviridae,Equine coronavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,63,1.75E-06,1.751098133
Coronaviridae,Human coronavirus OC43,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,3,43,46,593,1.65E-05,16.48255862
Coronaviridae,Infectious bronchitis virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,5,43,46,109,7.03E-06,7.032144769
Coronaviridae,Longquan Aa mouse coronavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,79,2.20E-06,2.195821468
Coronaviridae,Porcine hemagglutinating encephalomyelitis virus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,2,43,46,896,2.49E-05,24.90450678
Coronaviridae,Porcine hemagglutinating encephalomyelitis virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,4,1.69E-07,0.169436401
Coronaviridae,Rabbit coronavirus HKU14,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,2,43,46,100,2.78E-06,2.779520846
Coronaviridae,Rat coronavirus Parker,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,29,8.06E-07,0.806061045
Coronaviridae,Rodent coronavirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,239,6.64E-06,6.643054823
Coronaviridae,Turkey coronavirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,3,43,46,40,2.42E-06,2.424302902
Geminiviridae,Begomovirus manihotis,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,43,1.81E-06,1.809049217
Genomoviridae,Chicken stool-associated gemycircularvirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,4,43,46,1945,0.000129558,129.558
Genomoviridae,Duck associated circular virus VC9,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,12,9.46E-07,0.946272538
Genomoviridae,Faeces associated gemycircularvirus 15,Goat,Ondo,Swab,Herbivores,peri-domesticated,2,43,46,6,4.73E-07,0.473136269
Genomoviridae,Genomoviridae sp.,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,6,43,46,24,9.36E-07,0.935820203
Genomoviridae,Genomoviridae sp.,Goat,Ondo,Swab,Herbivores,peri-domesticated,6,43,46,33,2.16E-06,2.163858786
Genomoviridae,Gila monster-associated gemycircularvirus 1,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,3,43,46,4,1.15E-07,0.11492142
Genomoviridae,Human associated gemykibivirus 2,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,5,43,46,42,1.93E-06,1.927353813
Genomoviridae,Momordica charantia associated gemycircularvirus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,89,5.81E-06,5.806255307
Genomoviridae,Porcine genomovirus-2,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,13,4.94E-07,0.493607766
Genomoviridae,bubaline-associated gemykrogvirus,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,4,43,46,4,1.15E-07,0.11492142
Genomoviridae,finch CRESS-DNA virus,Goat,Ondo,Swab,Herbivores,peri-domesticated,1,43,46,185,1.23E-05,12.32303949
Mimiviridae,Moumouvirus Monve,Goat,Ebonyi,Swab,Herbivores,peri-domesticated,1,43,46,4,1.68E-07,0.168283648
